"Company Name","Domain","Industry","HQ Location","Employees","Revenue Band","Funding Stage"
"Headway","headway.co","mental health care","New York, New York, United States","4200","490.9M","Series D"
"Headspace","headspace.com","mental health care","San Francisco, California, United States","1600","348.4M","Debt Financing"
"Talkiatry","talkiatry.com","mental health care","New York, New York, United States","600","94.7M","Series D"
"Lyra Health","lyrahealth.com","mental health care","Hillsborough, California, United States","1700","235M","Series F"
"LiveRamp","liveramp.com","marketing & advertising","San Francisco, California, United States","1400","745.6M",""
"Forrester Research, Inc.","forrester.com","research","Cambridge, Massachusetts, United States","1600","396.9M",""
"Accel Partners","accel.com","venture capital & private equity","Palo Alto, California, United States","1400","50M","Other"
"Asana","asana.com","information technology & services","San Francisco, California, United States","1900","790.8M",""
"WHOOP","whoop.com","health, wellness & fitness","Boston, Massachusetts, United States","800","260M","Series G"
"Position2","position2.com","marketing & advertising","Santa Clara, California, United States","200","66M",""
"Headway","headway.co","mental health care","United States","4200","490.9M","Series D"
"SonicWall Inc","sonicwall.com","computer & network security","Milpitas, California, United States","1700","480M","Merger / Acquisition"
"BirdEye","birdeye.com","information technology & services","Sunnyvale, California, United States","1100","146.8M","Series C"
"6sense","6sense.com","information technology & services","San Francisco, California, United States","1200","200M","Debt Financing"
"Sequoia Capital Operations LLC","sequoiacap.com","venture capital & private equity","Menlo Park, California, United States","340","192M","Other"
"Talkdesk Inc","talkdesk.com","information technology & services","Mountain View, California, United States","1300","420.1M","Series D"
"Glean Technologies Inc","glean.com","information technology & services","Palo Alto, California, United States","1400","200M","Series F"
"Calm.com, Inc.","calm.com","mental health care","San Francisco, California, United States","410","596.4M","Series C"
"Dermalogica","dermalogica.com","health, wellness & fitness","Carson, California, United States","2000","300M","Seed"
"Gong","gong-next-sanity-web.vercel.app","information technology & services","Palo Alto, California, United States","1400","300M","Seed"
